host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Hotel room in Manhattan,Manhattan,Courtyard King,2.0,4.35,23,69.0
SUPERHOST,Entire apartment in Midtown,Midtown,Beautiful NYC studio,2.0,na,na,60.0
SUPERHOST,Entire apartment in Queens,Queens,Cozy Cupcake Apartment,3.0,na,na,70.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Amazing Private Room @Madison Square Garden,2.0,4.4,163,52.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Beautiful 2 Double Bed Hotel Room,4.0,5.0,8,79.0
SUPERHOST,Private room in Hell's Kitchen,Hell'sKitchen,Private room in Times Square,1.0,3.89,9,40.0
SUPERHOST,Entire apartment in Midtown,Midtown,Ideal junior 1 bedroom suite in Midtown Manhattan,3.0,5.0,4,60.0
SUPERHOST,Private room in Manhattan,Manhattan,NEW ! Chic Designer Blue,2.0,4.76,96,53.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Sonder at Battery Park | Studio with Weekly Discounts,2.0,4.63,112,104.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,"138 Bowery, Queen Studio Room",2.0,na,na,80.0
SUPERHOST,Private room in Bushwick,Bushwick,SUPERCUTE BEDROOM💖 2 DOUBLE BEDS PRIVATE BATHROOM,2.0,4.79,154,36.0
SUPERHOST,Private room in Brooklyn,Brooklyn,Basement in a Gorgeous Brooklyn Brownstone,3.0,4.51,49,40.0
SUPERHOST,Entire apartment in Manhattan,Manhattan,Studio Queen size bed,2.0,na,na,75.0
SUPERHOST,Entire apartment in Greenwich Village,GreenwichVillage,Private Sunny Studio in the Heart of Soho,2.0,5.0,14,81.0
SUPERHOST,Private room in Manhattan,Manhattan,Superior Room with Private Bathroom in Manhattan,3.0,4.85,26,85.0
SUPERHOST,Private room in East Village,EastVillage,Sita Budget Cozy Private Room (fights NYC Hunger),2.0,4.67,18,52.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Water View King Bed Hotel Room,2.0,4.63,8,89.0
